Ra,delta,k,Nu
328.5,0.5,2.2,1
500,0.35674,2.2,1.443
1000,0.227225,2.3,2.373
5000,0.096377,2.6,5.617
10000,0.070759,2.7,7.688
50000,0.03777,3.2,14.492
100000,0.0292565,3.4,18.739
500000,0.015997,4.5,34.357
1000000,0.012186,6.5,45.134
2000000,0.00920475,8.5,59.785
3000000,0.0077933,9.6,70.631
4000000,0.00692165,10.4,79.539
5000000,0.00631229,11,87.227
7500000,0.00533818,12.2,103.163
10000000,0.00473937,13.1,116.21
20000000,0.00355793,15.6,154.833
30000000,0.003008529,17.2,183.127
40000000,0.002670995,18.5,206.281
50000000,0.00243549,19.5,226.238
75000000,0.002059437,21.6,267.568
100000000,0.001828389,23.1,301.392
200000000,0.001372615,27.4,401.503
300000000,0.001160662,30.3,474.842
400000000,0.001030437,32.5,534.865
500000000,0.0009395722,34.4,586.601
750000000,0.0007944719,38,693.755
1000000000,0.00070532,40.7,781.458